stock_id,name,industry,close,adv20,pe_hist_pct,value_pct,revenue_yoy,value_ind_pct,momentum20,chip20_turnover,high52_prox,rev_accel,value_ind_pct_pool_pct,momentum20_pool_pct,chip20_turnover_pool_pct,high52_prox_pool_pct,rev_accel_pool_pct,revenue_yoy_pool_pct,composite,c2_score
4137,麗豐-KY,化妝美容,108.0,30722350.0,28.264462809917358,74.59874389392883,-14.58,50.0,5.882352941176472,0.07176091624910523,88.88888888888889,-12.426666666666652,48.97435897435897,72.15384615384616,85.23076923076923,74.25641025641025,14.666666666666666,8.41025641025641,59.05641025641027,39.87179487179487
1227,佳格,其他食品,29.05,71752397.5,56.41873278236914,55.757152826238666,5.44,33.33333333333333,4.121863799283165,0.2925397488707142,85.56701030927834,3.6566666666666654,32.35897435897436,67.38461538461539,99.58974358974359,63.28205128205128,53.84615384615385,30.564102564102562,63.2923076923077,39.705128205128204
6271,同欣電,半導體,255.0,2267740625.0,99.77961432506886,1.1165387299371947,7.63,3.571428571428571,4.294478527607359,0.026003307607497243,93.92265193370166,6.320000000000009,2.5128205128205128,67.7948717948718,69.12820512820514,89.94871794871796,63.28205128205128,34.15384615384615,58.53333333333334,39.705128205128204
8996,高力,其他電製品,1370.0,4310294250.0,95.09641873278237,16.294487090020933,40.03,12.5,25.114155251141558,0.083014639976098,86.16352201257862,-70.43999999999998,10.923076923076923,92.0,87.07692307692308,65.84615384615384,3.076923076923077,74.05128205128206,51.78461538461538,39.705128205128204
2412,中華電,通信網路,143.0,2089946650.0,99.06336088154269,4.884856943475227,5.39,2.1739130434782608,4.761904761904767,0.025994404242428368,97.61092150170649,-1.4599999999999982,0.9230769230769231,68.82051282051282,68.92307692307692,95.7948717948718,33.02564102564103,30.461538461538463,53.4974358974359,39.58974358974359
6548,長科*,半導體,85.1,1176785105.0,99.22566371681415,4.3963712491277045,36.65,13.492063492063492,28.162650602409613,0.0012503371900585436,86.74821610601427,9.556666666666665,11.692307692307692,92.82051282051282,52.92307692307693,68.71794871794872,71.17948717948718,70.76923076923077,59.46666666666666,39.58974358974359
9802,鈺齊-KY,鞋及旅行箱,72.5,94884295.0,23.856749311294767,78.96022330774599,-19.58,88.88888888888889,-1.3605442176870763,-0.017394507428477878,62.5,-16.483333333333338,88.15384615384615,46.666666666666664,39.179487179487175,10.461538461538462,11.58974358974359,6.3589743589743595,39.210256410256406,39.57692307692308
6895,宏碩系統,電子設備,147.0,27595150.0,32.608695652173914,71.03977669225401,-28.62,92.85714285714286,-2.970297029702973,-0.037210665104014065,43.17180616740088,7.256666666666664,91.94871794871796,41.23076923076923,25.128205128205128,1.7435897435897436,66.05128205128206,3.897435897435898,45.22051282051283,39.08974358974359
1409,新纖,人纖,26.1,715760605.0,85.89531680440771,29.72784368457781,35.13,14.285714285714285,25.78313253012048,-0.052084640819805725,86.13861386138613,13.45666666666666,13.025641025641024,92.3076923076923,18.153846153846153,65.64102564102564,79.07692307692308,69.43589743589743,53.641025641025635,38.94871794871794
2597,潤弘,營造,164.0,374355925.0,69.6969696969697,46.545708304256806,20.33,25.0,4.458598726114649,0.24557516677744134,80.3921568627451,7.473333333333324,24.25641025641026,68.0,98.46153846153847,46.35897435897436,67.17948717948717,53.02564102564102,60.851282051282055,38.91025641025641
6179,亞通,工程承攬,25.9,51313685.0,95.0735294117647,16.399162595952546,121.75,16.666666666666664,9.513742071881603,0.09274074074074073,72.54901960784312,37.76666666666664,15.384615384615385,79.58974358974359,89.12820512820512,27.794871794871796,94.25641025641026,92.0,61.230769230769226,38.8974358974359
6435,大中,半導體,332.0,313247075.0,99.6694214876033,1.7096999302163292,22.2,6.349206349206349,19.424460431654666,-0.032772898368883314,91.71270718232044,6.633333333333336,4.923076923076923,89.23076923076924,27.282051282051285,83.8974358974359,64.2051282051282,55.58974358974359,53.90769230769231,38.794871794871796
3455,由田,電子設備,221.5,473154825.0,98.62258953168043,6.978367062107467,13.96,14.285714285714285,-8.2815734989648,-0.04109208465929181,71.45161290322581,38.00333333333332,13.025641025641024,26.564102564102566,22.87179487179487,24.923076923076923,94.46153846153847,43.69230769230769,36.369230769230775,38.76923076923077
7712,博盛半導體,半導體,194.5,198843250.0,96.1218836565097,14.515003489183531,2.68,28.57142857142857,19.692307692307697,0.03061824431278549,94.41747572815534,-0.36333333333333284,27.897435897435898,89.53846153846153,71.48717948717949,90.87179487179488,37.02564102564103,25.538461538461537,63.364102564102566,38.69230769230769
3218,大學光,醫藥通路,130.5,42526750.0,2.7548209366391188,93.37055129099791,6.62,66.66666666666666,0.0,0.12764940239043826,59.7254004576659,1.5299999999999905,65.7948717948718,51.84615384615384,93.64102564102565,8.0,45.33333333333333,32.51282051282051,52.92307692307692,38.61538461538461
1434,福懋,成衣,16.7,60410632.5,72.28650137741047,44.17306350314026,5.63,26.31578947368421,11.705685618729088,0.24714426931737052,90.5149051490515,7.02666666666667,25.794871794871792,82.66666666666667,98.76923076923076,80.51282051282051,65.43589743589745,30.666666666666664,70.63589743589743,38.576923076923066
