stock_id,name,industry,close,adv20,listed_ok,pe_hist_pct,value_pct,revenue_yoy,rev_month,bear_regime,value_ind_pct,momentum20,chip20_turnover,high52_prox,rev_accel,value_ind_pct_pool_pct,momentum20_pool_pct,chip20_turnover_pool_pct,high52_prox_pool_pct,rev_accel_pool_pct,composite
2312,金寶,電腦及週邊,33.6,1316950276.49,True,61.44721233689205,52.12247738343771,32.7,2026-06-01,False,57.89473684210527,-3.3093525179856074,-0.05263694511150781,77.41935483870968,25.663333333333334,58.22440087145969,48.69281045751634,19.389978213507625,47.276688453159046,88.67102396514161,52.450980392156865
2427,三商電,資訊服務,24.85,80740941.9275,True,72.21006564551422,43.389004871259566,-11.68,2026-06-01,False,22.727272727272727,12.698412698412701,-0.004943013835670458,75.87786259541986,6.399999999999999,22.167755991285404,89.32461873638344,46.73202614379085,42.97385620915033,60.02178649237473,52.24400871459695
6477,安集,光電及I/O,41.0,169716216.16,True,96.8986905582357,11.273486430062631,-10.45,2026-06-01,False,16.666666666666664,27.9251170046802,0.009198468418256913,89.71553610503283,-14.206666666666667,15.795206971677562,95.31590413943356,57.29847494553377,79.62962962962963,13.071895424836603,52.22222222222223
2354,鴻準,電子零組件,56.4,361105999.22,True,87.417943107221,27.105080027835772,10.66,2026-06-01,False,47.91666666666667,-1.052631578947371,-0.0407919186989296,73.91874180865007,37.10666666666667,47.49455337690632,57.407407407407405,24.836601307189543,38.23529411764706,92.9193899782135,52.17864923747277
1580,新麥,機械,116.5,10716918.525,True,6.017505470459518,90.74460681976339,3.17,2026-06-01,False,96.96969696969697,-6.048387096774194,-0.08472293494772051,77.92642140468227,9.153333333333334,95.80610021786492,38.56209150326798,11.655773420479303,48.5838779956427,66.23093681917211,52.16775599128541
3430,奇鈦科,其他化學,139.0,159639622.1,True,95.8109559613319,13.569937369519833,58.37,2026-06-01,False,12.5,7.751937984496124,-0.02613532708945914,75.74931880108991,32.22,11.056644880174291,83.87799564270153,31.699346405228756,42.37472766884531,91.83006535947712,52.167755991285404
4952,凌通,半導體,52.2,102307066.285,True,98.08533916849015,7.167710508002783,50.03,2026-06-01,False,15.873015873015872,-6.785714285714281,0.0015104525048018494,86.2809917355372,23.143333333333334,14.814814814814813,36.43790849673202,51.089324618736384,71.35076252723312,87.14596949891067,52.167755991285404
8926,台汽電,公用事業,67.0,729502821.3050001,True,5.032822757111598,91.9972164231037,1719.48,2026-06-01,False,72.72727272727273,-12.760416666666663,-0.08968614970504867,81.50851581508516,712.66,72.93028322440087,18.40958605664488,10.784313725490197,58.82352941176471,99.56427015250546,52.10239651416123
1326,台化,石化,68.9,4186085195.12,True,94.81627296587926,15.100904662491303,11.59,2026-06-01,False,13.333333333333334,32.24568138195778,-0.015686381751368744,97.31638418079098,-6.833333333333332,12.418300653594772,96.62309368191721,38.344226579520694,93.57298474945533,19.335511982570804,52.058823529411754
2484,希華,電子零組件,89.6,3919468638.88,True,99.72647702407002,1.2526096033402923,-1.4,2026-06-01,False,0.6944444444444444,27.272727272727256,-0.0031220665767053312,92.9460580912863,-2.5166666666666666,0.10893246187363835,95.09803921568627,47.82135076252723,86.71023965141612,30.28322440087146,52.00435729847495
5258,虹堡,電腦及週邊,54.0,29394693.7,True,76.26262626262627,39.109255393180234,20.75,2026-06-01,False,40.35087719298245,9.644670050761421,0.1040193149064806,67.58448060075094,-5.52,40.19607843137255,86.05664488017429,90.6318082788671,20.915032679738562,22.22222222222222,52.00435729847494
6163,華電網,通信網路,44.55,68218851.75750001,True,73.63238512035011,41.78844815588031,61.38,2026-06-01,False,51.06382978723404,-13.157894736842108,0.09185792483721505,60.12145748987854,31.44666666666667,50.65359477124183,17.538126361655774,88.88888888888889,10.021786492374728,91.39433551198258,51.69934640522875
6187,萬潤,電子設備,1075.0,2034682226.0,True,87.19912472647702,27.487821851078635,87.06,2026-06-01,False,50.0,-5.701754385964912,-0.02998197652451363,77.33812949640287,34.73666666666667,49.40087145969499,39.869281045751634,29.847494553376908,46.949891067538125,92.15686274509804,51.64488017429194
6863,永道-KY,通信網路,105.0,12836477.6,True,97.38805970149254,10.160055671537926,80.81,2026-06-01,False,8.51063829787234,8.808290155440414,0.035916357390610346,65.625,14.076666666666668,7.080610021786492,85.40305010893246,72.22222222222221,17.429193899782135,75.70806100217865,51.5686274509804
6261,久元,半導體,90.9,100238545.61,True,96.66301969365426,11.725817675713293,33.71,2026-06-01,False,23.809523809523807,-3.9112050739957596,0.06473621786094486,68.08988764044945,20.843333333333334,23.202614379084967,45.53376906318083,81.69934640522875,22.004357298474943,85.29411764705883,51.546840958605664
1477,聚陽,成衣,219.5,736000990.475,True,20.295404814004375,81.2804453723034,0.53,2026-06-01,False,73.68421052631578,0.0,0.08285656422649801,64.84490398818316,-6.003333333333334,73.80174291938998,61.00217864923747,86.16557734204792,15.904139433551197,20.806100217864923,51.535947712418306
3013,晟銘電,電子零組件,96.5,166623074.15,True,29.80263157894737,74.4606819763396,26.51,2026-06-01,False,90.27777777777779,-12.669683257918551,0.039267883020773636,68.92857142857143,3.5500000000000043,90.6318082788671,18.845315904139433,73.96514161220044,24.509803921568626,49.56427015250544,51.50326797385621
2641,正德,海運,17.5,25909102.23,True,20.872971460548406,81.07167710508003,4.73,2026-06-01,False,100.0,-6.91489361702128,-0.018744397987814614,77.43362831858407,0.9333333333333336,98.63834422657952,35.62091503267974,36.38344226579521,47.385620915032675,39.433551198257085,51.492374727668846
6561,是方,通信網路,323.5,33747765.65,True,0.4923413566739606,97.66875434933891,10.18,2026-06-01,False,100.0,-4.572271386430678,-0.1116564520724887,70.86527929901423,15.64,98.63834422657952,43.68191721132897,7.080610021786492,29.193899782135073,78.64923747276688,51.448801742919386
7744,崴寶,電子零組件,453.0,30931791.5,True,44.370860927152314,64.09185803757829,128.13,2026-06-01,False,85.41666666666666,-5.625,-0.0831420464329298,74.50657894736842,15.870000000000005,85.62091503267973,40.52287581699346,12.091503267973856,39.54248366013072,79.08496732026144,51.372549019607845
2423,固緯,電子設備,82.7,18103604.47,True,99.83588621444201,0.9046624913013221,26.66,2026-06-01,False,3.571428571428571,6.435006435006435,-0.05501589552049635,97.52358490566039,6.286666666666665,2.6688453159041394,80.82788671023965,18.954248366013072,94.11764705882352,59.42265795206971,51.19825708061002
9914,美利達,其他,84.2,197659550.91,True,54.19029615626969,57.41127348643006,-5.51,2026-06-01,False,40.909090909090914,13.630229419703117,0.033994940371588366,71.05485232067511,-5.013333333333333,40.74074074074074,90.52287581699346,70.91503267973856,30.065359477124183,23.420479302832245,51.13289760348584
2528,皇普,建設,22.25,13502242.184999999,True,26.968503937007878,76.27000695894223,-5.37,2026-06-01,False,72.88135593220339,-0.8908685968819567,0.16009924610192075,69.53125,-139.34666666666666,73.31154684095861,58.06100217864923,96.29629629629629,25.59912854030501,1.6339869281045754,50.98039215686275
1789,神隆,藥,20.65,19373248.4125,True,97.5382932166302,9.324982602644399,-3.91,2026-06-01,False,9.090909090909092,2.9925187032418843,0.08890199447946187,73.09734513274336,4.306666666666667,7.788671023965142,70.26143790849673,88.45315904139433,35.294117647058826,52.28758169934641,50.81699346405229
5530,龍巖,靈骨塔,48.5,20607064.035,True,87.74617067833698,26.40918580375783,-8.33,2026-06-01,False,26.598735066760366,-2.1190716448032236,0.08701239393944041,78.09983896940419,0.45000000000000107,26.143790849673206,52.28758169934641,88.01742919389977,49.673202614379086,37.58169934640523,50.74074074074074
