date,ticker,baseline_selected,u1_selected,change_type
2017-12-29,8924,True,True,UNCHANGED
2017-12-29,9940,True,True,UNCHANGED
2018-01-31,1109,True,True,UNCHANGED
2018-01-31,1309,True,True,UNCHANGED
2018-01-31,1434,True,True,UNCHANGED
2018-01-31,1615,True,True,UNCHANGED
2018-01-31,1907,True,True,UNCHANGED
2018-01-31,2347,True,True,UNCHANGED
2018-01-31,2426,True,True,UNCHANGED
2018-01-31,2436,True,True,UNCHANGED
2018-01-31,2458,True,True,UNCHANGED
2018-01-31,2474,True,True,UNCHANGED
2018-01-31,2492,True,True,UNCHANGED
2018-01-31,2534,True,True,UNCHANGED
2018-01-31,2606,True,True,UNCHANGED
2018-01-31,2608,True,True,UNCHANGED
2018-01-31,2851,True,True,UNCHANGED
2018-01-31,2855,True,True,UNCHANGED
2018-01-31,2883,True,True,UNCHANGED
2018-01-31,2885,True,True,UNCHANGED
2018-01-31,2888,True,True,UNCHANGED
2018-01-31,3005,True,True,UNCHANGED
2018-01-31,3010,True,True,UNCHANGED
2018-01-31,3013,True,True,UNCHANGED
2018-01-31,3014,True,True,UNCHANGED
2018-01-31,3028,True,True,UNCHANGED
2018-01-31,3056,True,True,UNCHANGED
2018-01-31,3114,True,True,UNCHANGED
2018-01-31,3167,True,True,UNCHANGED
2018-01-31,3217,True,True,UNCHANGED
2018-01-31,3236,True,True,UNCHANGED
2018-01-31,3265,True,True,UNCHANGED
2018-01-31,3684,True,True,UNCHANGED
2018-01-31,4207,True,True,UNCHANGED
2018-01-31,4506,True,True,UNCHANGED
2018-01-31,4907,True,True,UNCHANGED
2018-01-31,4939,True,True,UNCHANGED
2018-01-31,4953,True,True,UNCHANGED
2018-01-31,5305,True,True,UNCHANGED
2018-01-31,5536,True,True,UNCHANGED
2018-01-31,5607,True,True,UNCHANGED
2018-01-31,5864,True,True,UNCHANGED
2018-01-31,5880,True,True,UNCHANGED
2018-01-31,6005,True,True,UNCHANGED
2018-01-31,6016,True,True,UNCHANGED
2018-01-31,6024,True,True,UNCHANGED
2018-01-31,6175,True,True,UNCHANGED
2018-01-31,6210,True,True,UNCHANGED
2018-01-31,6242,True,True,UNCHANGED
2018-01-31,6504,True,True,UNCHANGED
2018-01-31,6505,True,True,UNCHANGED
2018-01-31,6525,True,True,UNCHANGED
2018-01-31,6554,True,True,UNCHANGED
2018-01-31,6605,True,True,UNCHANGED
2018-01-31,8437,True,True,UNCHANGED
2018-01-31,8440,True,True,UNCHANGED
2018-01-31,8489,True,True,UNCHANGED
2018-01-31,9940,True,True,UNCHANGED
2018-02-27,1109,True,True,UNCHANGED
2018-02-27,1210,True,True,UNCHANGED
2018-02-27,1309,True,True,UNCHANGED
2018-02-27,1434,True,True,UNCHANGED
2018-02-27,1593,True,True,UNCHANGED
2018-02-27,1597,True,True,UNCHANGED
2018-02-27,1605,True,True,UNCHANGED
2018-02-27,1609,True,True,UNCHANGED
2018-02-27,1907,True,True,UNCHANGED
2018-02-27,2024,True,True,UNCHANGED
