factor,dir,mode,adv,sharpe,cagr,months
rev_yoy_3m,低,N=25,2000萬,-0.3095039681109698,-7.246467252616339,256
rev_yoy_3m,低,N=15,2000萬,-0.3296495104762342,-8.153182243480561,256
rev_yoy_3m,低,N=8,2000萬,-0.4021062744418152,-11.18462442073682,256
rev_accel,高,top20%,2000萬,0.17238020317339178,5.262547017192021,256
rev_accel,高,top10%,2000萬,0.11733512536688823,4.034543310926297,256
rev_accel,高,top5%,2000萬,-0.02670238992099197,0.27584713405928163,256
rev_accel,高,N=25,2000萬,-0.02934994131922348,0.19403870797618517,256
rev_accel,高,N=15,2000萬,-0.049048797119729745,-0.43187142638144715,256
rev_accel,高,N=8,2000萬,-0.12451030301877013,-2.973471448358289,256
rev_accel,低,top20%,2000萬,-0.10131484684057669,-1.4237804277197008,256
rev_accel,低,top10%,2000萬,-0.11872367725192938,-1.9484427647410985,256
rev_accel,低,top5%,2000萬,-0.08012243734493958,-1.0978552391027852,256
rev_accel,低,N=25,2000萬,-0.12872891879870343,-2.3891546626434446,256
rev_accel,低,N=15,2000萬,-0.09731463638104951,-1.7393617851581555,256
rev_accel,低,N=8,2000萬,-0.15916870252621135,-3.632485977480171,256
high52_prox,高,top20%,2000萬,0.6205174125686398,14.477129563535307,256
high52_prox,高,top10%,2000萬,0.6452193766702486,15.398047676959493,256
high52_prox,高,top5%,2000萬,0.6720804321791582,17.361980518609,256
high52_prox,高,N=25,2000萬,0.636721235695119,16.5724613875486,256
high52_prox,高,N=15,2000萬,0.6915517310241566,18.923727375548328,256
high52_prox,高,N=8,2000萬,0.786788129399845,22.515270840483392,256
high52_prox,低,top20%,2000萬,-0.06363066484332144,-0.8567994382093658,256
high52_prox,低,top10%,2000萬,-0.15360959841963304,-3.926427097717422,256
high52_prox,低,top5%,2000萬,-0.2157898958407597,-6.446178910384159,256
high52_prox,低,N=25,2000萬,-0.23539984023668203,-6.871701359588355,256
high52_prox,低,N=15,2000萬,-0.26535681078397516,-8.476662202561535,256
high52_prox,低,N=8,2000萬,-0.2709339053616557,-8.946246981747786,256
rsi14,高,top20%,2000萬,0.09594613305680895,3.302228335371593,256
rsi14,高,top10%,2000萬,0.08130058188596906,2.9819390574572724,256
rsi14,高,top5%,2000萬,0.06958227821022177,2.7629790388830955,256
rsi14,高,N=25,2000萬,0.0671596960479264,2.722317456823564,256
rsi14,高,N=15,2000萬,0.12042792725020328,4.38986554933205,256
rsi14,高,N=8,2000萬,0.16351867154417077,5.898177354650103,256
rsi14,低,top20%,2000萬,0.03267971607251615,1.7900283835701636,256
rsi14,低,top10%,2000萬,-0.01022939783758198,0.7562210369290279,256
rsi14,低,top5%,2000萬,-0.09557209137101305,-1.2470667746958264,256
rsi14,低,N=25,2000萬,-0.0917094709726347,-1.1299911218477732,256
rsi14,低,N=15,2000萬,-0.12276897671869275,-1.926983587373965,256
rsi14,低,N=8,2000萬,-0.18141229975134485,-3.456603605897879,256
bbp20,高,top20%,2000萬,0.0242918381404558,1.5682694668377906,256
bbp20,高,top10%,2000萬,-0.10528647356677992,-1.4489123684063188,256
bbp20,高,top5%,2000萬,-0.1518354337595196,-2.633897627686188,256
bbp20,高,N=25,2000萬,-0.1167148102080961,-1.8109336123686703,256
bbp20,高,N=15,2000萬,-0.13797174864464568,-2.432479456540382,256
bbp20,高,N=8,2000萬,-0.1546930213615694,-3.3365478669342585,256
bbp20,低,top20%,2000萬,-0.015395497675015227,0.6249727886000089,256
bbp20,低,top10%,2000萬,-0.09898300293430093,-1.4178545388471409,256
bbp20,低,top5%,2000萬,-0.1902627238078458,-3.6888516799722937,256
bbp20,低,N=25,2000萬,-0.16848581602786,-3.167153851829796,256
bbp20,低,N=15,2000萬,-0.2838239931840507,-5.906744712051459,256
bbp20,低,N=8,2000萬,-0.3746009684825064,-8.149395210687715,256
ma_gap60,高,top20%,2000萬,0.21201071277406836,6.5812210784016,256
ma_gap60,高,top10%,2000萬,0.18689492278914338,6.331417534815831,256
ma_gap60,高,top5%,2000萬,0.260918439915581,9.181894416134927,256
ma_gap60,高,N=25,2000萬,0.1503658886152017,5.836869307633674,256
ma_gap60,高,N=15,2000萬,0.20771090522561383,8.375950627488372,256
ma_gap60,高,N=8,2000萬,0.2709361468609257,12.456722165962407,256
ma_gap60,低,top20%,2000萬,0.04360156500328566,2.1634427106384635,256
ma_gap60,低,top10%,2000萬,0.08798606357886823,3.5549918474456543,256
ma_gap60,低,top5%,2000萬,0.032707702802520576,2.0053022092966,256
ma_gap60,低,N=25,2000萬,0.017549078467580255,1.5377147813198766,256
ma_gap60,低,N=15,2000萬,-0.015452090358637212,0.4928238861622303,256
ma_gap60,低,N=8,2000萬,-0.048948039262472015,-0.7046794305855197,256
vol60,高,top20%,2000萬,0.14842083311858387,5.794502849177574,256
vol60,高,top10%,2000萬,0.08769950097029924,4.046274314031151,256
vol60,高,top5%,2000萬,0.027540567709225028,2.020660753858672,256
vol60,高,N=25,2000萬,-0.009854532751122073,0.633526163128173,256
vol60,高,N=15,2000萬,-0.1730352710608397,-5.714032087585119,256
vol60,高,N=8,2000萬,-0.2253826811978172,-8.340074960181898,256
vol60,低,top20%,2000萬,0.28699398429075024,5.536703880699001,256
vol60,低,top10%,2000萬,0.1475562157002922,3.1233823915016057,256
vol60,低,top5%,2000萬,0.03809827055828714,1.5298544340567766,256
vol60,低,N=25,2000萬,0.07292042412330339,2.0126070157433062,256
vol60,低,N=15,2000萬,-0.06496126240280536,0.09521142514463676,256
vol60,低,N=8,2000萬,-0.3220486304714089,-3.194319771630816,256
value,高,top20%,500萬,0.21747965423861262,5.910197339000733,256
value,高,top10%,500萬,0.0678487732392429,2.538435204974121,256
value,高,top5%,500萬,-0.01186314875325282,0.7238370391507543,256
value,高,N=25,500萬,-0.03551716627649121,0.15443648256134868,256
value,高,N=15,500萬,-0.13455534216882328,-2.309596118866375,256
value,高,N=8,500萬,-0.15753739899463381,-3.1541351679288177,256
value,低,top20%,500萬,0.3307259141595313,8.90363718247238,256
