relpath,size_bytes,sha256,mtime_utc
法人回測2004-20260806/2005 法人.xlsx,27378678,676637b9457e89f589b3ed020e343549dd902a53fe39051cca75f2856ba8a033,2026-08-05T19:26:11.309474+00:00
法人回測2004-20260806/2006 法人.xlsx,28523540,41b85ceb3ead054ddac611dc476f17326fc39ee3d30825a348e574f35f8af5fc,2026-08-05T19:31:53.759638+00:00
法人回測2004-20260806/2007 法人.xlsx,30002038,eff7dd552e0ca3676ffe98b4adb2d7bc603d0ebb1d3e5ad1ab271b7571e46353,2026-08-05T19:39:04.939601+00:00
法人回測2004-20260806/2008 法人.xlsx,30628775,89dcebe8352d01b9f0c4bd17f116aafa54c4375b88fdd16c4567b5511359ae64,2026-08-06T09:09:00.848333+00:00
法人回測2004-20260806/2009 法人.xlsx,31700224,06a9d9ede587b0a413ef0abaa559f53f2da55b21861a24a35ebbc3728aaa3680,2026-08-06T09:15:37.806673+00:00
法人回測2004-20260806/2010 法人.xlsx,33373717,e4e19c54d289f73c911848e203b6a67b90d5504edcc9dcac9eaaec5891811875,2026-08-06T09:23:35.055475+00:00
法人回測2004-20260806/2011 法人.xlsx,33781535,0880848f4f0e3c960c3a7401034d4b322a239b740f6f33f6cf72579615ff2db0,2026-08-06T09:29:48.792221+00:00
法人回測2004-20260806/2012 法人.xlsx,35484917,d040af265c0207119768b20df34ff22d3def17a1a805a0b4389ebdea6d132427,2026-08-06T09:35:29.968606+00:00
法人回測2004-20260806/2013-14法人.xlsx,97732127,7e6ae8c483499805e87169c830ed547c75c2e5726141ac8ade29f5619292010a,2026-08-06T09:58:02.935008+00:00
法人回測2004-20260806/2015-2016法人.xlsx,103403030,e2dc35e61bd8f738db79e221625eaf99076020d5fbd3b1dab5c71b8f14185280,2026-08-06T10:01:54.157215+00:00
法人回測2004-20260806/2017-2018 法人.xlsx,107480118,0d9e64517c9735acf2deeae60cea6da9c53f8ecd65868d757e1c8750e1ed2eeb,2026-08-06T10:06:28.355679+00:00
法人回測2004-20260806/2019-2020 法人.xlsx,107591415,223ad22c20306919b71134e3e5dffdf4386736e21cd5abb606159ad9863f5838,2026-08-06T10:09:05.448479+00:00
法人回測2004-20260806/2021-2022法人.xlsx,113653770,246134a34a21d7e3dc47798e03ae06a9e92904caa974e1da055ce890127093e5,2026-08-06T10:12:16.530368+00:00
法人回測2004-20260806/2023-2024法人.xlsx,118365732,361be7f52fda1311911742b06a4e25736695d6cb71f5ee896188665c84ae0c68,2026-08-06T10:14:29.704998+00:00
法人回測2004-20260806/2025-20260806 法人.xlsx,97905540,bd315c780dd0b3484aeb96c0d5835bf629104628d3e524d39e5e6e62ca35e735,2026-08-06T10:16:37.906582+00:00
產業類別/歷史產業類別.xlsx,345432,d847caf7d788e4234e5514535354381915fad707731aa23bf236f68fdff74b73,2026-08-05T15:57:39.686917+00:00
產業類別/現在產業類別.xlsx,122133,966318f2be97e15805c4c5751654370f65a5405c2d1b681c3b5bfdbdb1d03abf,2026-07-15T05:16:47.056118+00:00
處置注意股2004-20260806/2008-2011 警示.zip,11464089,9252ee10f336503ccbe5d0e1a5612fb50ed7ca616e853b81ea6537b5f4d98c49,2026-08-06T15:28:39.523294+00:00
處置注意股2004-20260806/2012-2015警示.zip,12760003,13aa2555a75b2c8ec5f8637b7be5247a0d7f5af67f35eeec9cd0c67aa84d1ef5,2026-08-06T15:31:03.398161+00:00
處置注意股2004-20260806/2016-2019警示.zip,14164871,3613c0ad9f5f6927995accd17a499865a6e8f4fda30ed0dc3e59bd592d43ca2a,2026-08-06T15:32:35.066826+00:00
處置注意股2004-20260806/2020-2023警示.zip,14542838,b9b4cc88a98ca32c52a023b6b1dcc0375a0592043ab033b7fc820b60025c58f3,2026-08-06T15:34:59.591204+00:00
處置注意股2004-20260806/2024-20260806警示.zip,9977341,fa1aff7810b48a4716b649cb325f46f3448adf0764e112e7d151040c020a3cfa,2026-08-06T15:36:23.003235+00:00
處置注意股2004-20260806/處置注意股2004-2007/20260806071703.xlsx,20644576,43155dd264075792aa7726698fda68eb560af60b46e2595ee35ab9798ea537d2,2026-08-06T11:17:28.801567+00:00
融資融券2004-20260806/融資2007-2010.zip,53550453,f7cb340e410681d67c1c2699b62099b83eb0e2d7a484a9677e30ed2f796a1cc4,2026-08-06T15:41:25.755577+00:00
融資融券2004-20260806/融資2011-2014.zip,63252959,b977901d1b5868ca582866911f9258ca4b2318a7b01f02d4ed11a5fd98811d82,2026-08-06T15:43:19.687939+00:00
融資融券2004-20260806/融資2015-2018.zip,69355985,b3d3c9b6a06f1e6ec06ec17d9c1e032dc7920c5dacc63cd209fd97eca791a909,2026-08-06T15:45:45.293300+00:00
融資融券2004-20260806/融資2019-2022.zip,72496790,ebd249d30181136710f2143151ea807ed71b9d5ecbaa1325fa51f39bc29e1b97,2026-08-06T15:49:01.452068+00:00
融資融券2004-20260806/融資2023-20260806.zip,70715541,eaa469df47cd2924dfc137451a6552c91fb56c49dc5936911b28848a62b62255,2026-08-06T15:51:42.510639+00:00
融資融券2004-20260806/融資融券2004-2006/融資融券2004-2006.xlsx,93541023,72b02ac36602758c0260b7a229f166f63855cee32039d69de31cc233123a7832,2026-08-06T10:30:20.616435+00:00
財報2004~202606/202606 財報583家 8-10.xlsx,221486,d0b9ef3b31efd32549d5153c7124d8b2e97a559a822d4aea98f9d1f923d54418,2026-08-10T11:41:15.779526+00:00
財報2004~202606/20260806090633.xlsx,55352771,97574a0892ed01292b0ea781c340ce711ae96bd7c17d3fd5aad79ead57016832,2026-08-06T13:07:11.456131+00:00
除權息2004-20260806/除權息2004-2007/20260806070040.xlsx,240008,88613dcad20834080598f177d86e5ff7efefdf04d678186aedc49915a53e8443,2026-08-06T11:00:46.363241+00:00
除權息2004-20260806/除權息2008-2011/20260806070135.xlsx,262110,70d127ed691836d1302eeac07de03cfe9c1dc35b573a4763c277767927052bd5,2026-08-06T11:01:43.306188+00:00
除權息2004-20260806/除權息2012-2015/20260806070245.xlsx,312907,8cf1687592476f8ddaa08bf6a63b5aeaa58c6697d44543c267b1029f4ee352da,2026-08-06T11:02:53.296283+00:00
除權息2004-20260806/除權息2016-2019/20260806070403.xlsx,350683,3f14cb4f2764c1b184d7c6289f568795a39fd369347d5b34ff4d180e41ccee2c,2026-08-06T11:04:09.153175+00:00
除權息2004-20260806/除權息2020-2023/20260806070513.xlsx,393273,3edc6cf8c0509222af8dc0c4f6a59f1114c621a8e34a5013c0c9231a5e1aaf11,2026-08-06T11:05:19.145957+00:00
除權息2004-20260806/除權息2024-20260806/20260806070616.xlsx,297084,b3111591a6aa53ed4c994ec286d2021f8aa66b4dc59abd93795ea35edfefb919,2026-08-06T11:06:23.546461+00:00
集保大戶2019-20260806/TDCC 20260710-0806.xlsx,354450,b2bac48cf2454dbc4fd5dc90bd8c26103bc0ebdf194cc38d46cb54df23209682,2026-08-06T13:27:48.274989+00:00
集保大戶2019-20260806/TDCC2019.xlsx,3470378,fc24f02fed04b4042325691498364ba3218283315824082c790a96e534b5a834,2026-07-15T05:25:48.069694+00:00
集保大戶2019-20260806/TDCC2020.xlsx,3737469,3389efe7a9ba17f5cd4c8b8434e3ce4c4b89ca3dadc868d52692a0ac32c5629d,2026-07-15T05:27:51.375971+00:00
集保大戶2019-20260806/TDCC2021.xlsx,3864016,422d537cefe9eabf65f01ff63b40b607a96f80f3e3ccbe155b3dd3bb8705f9f9,2026-07-15T05:29:29.486758+00:00
集保大戶2019-20260806/TDCC2022.xlsx,3890899,a02478b8c165bd213a52a43463498efd881a61dc255547609a38e02cf4c5f2d9,2026-07-15T05:30:40.081853+00:00
集保大戶2019-20260806/TDCC2023.xlsx,3626933,89ab49a78a1ab79d08eec8329e0e2200970ccea0a70e10b09288aeadf0795d9d,2026-07-15T05:33:40.534742+00:00
集保大戶2019-20260806/TDCC2024.xlsx,4165427,0a1c33d97c128e647593a733916c77773e2d2bc54bf21cad2a8fce632035d54f,2026-07-15T05:41:24.097214+00:00
集保大戶2019-20260806/TDCC2025.xlsx,4191583,fb332a04e7dfe0476a65ef78c9b403c3a279cc6758f751b64ef16688104f210c,2026-07-15T05:47:40.775161+00:00
集保大戶2019-20260806/TDCC2026-0709.xlsx,2297592,6ca36df81291dd4de67e3800afdce479e1da651a0a782bbc7c70b2f93f852d12,2026-07-15T05:49:51.623543+00:00
集團分類+董監質押與持股比2019-202606/pledge.xlsx,5480995,0cbaa71e57e35067d13c63b69f7216dd7d4d18f4382d197c4253d167a0fa9989,2026-07-15T05:21:02.774571+00:00
